,Dry condition,,,,,,Wet condition,,,,,,,,,,,
Cross-feed (mm),"Table velocity, Vt (mm/sec)","Wheel velocity, Vw ",Depth of cut (mm),"Multimeter reading, ","Temperature,",MRR,"Table velocity, Vt (m/min)","Wheel velocity, Vw ",Depth of cut (mm),"Multimeter reading, ","Temperature,",MRR,,,,381,,
,, (mm/s),,mV,  (°C),(mm^3/min),, (m/s),,mV,  (°C),(mm^3/min),,,,,,
2,65,1500,0.05,2.1,205.1713,6500,65,1500,0.05,0.7,119.1357,6500,7.2,0.066461538,,,,
2,65,1500,0.075,2.2,211.2312,9750,,,0.075,0.8,125.3552,9750,,,,,,
2,65,1500,0.1,2.5,229.3425,13000,,,0.1,0.9,131.5633,13000,,,,,,
2,65,1500,0.125,3,259.3,16250,,,0.125,1.1,143.9453,16250,,Workpiece Specification,,,,
2,65,1500,0.15,3.8,306.6392,19500,,,0.15,1.3,156.2817,19500,,Length (mm),72,,,
2,65,4000,0.05,2.3,217.2797,6500,,4000,0.05,0.75,122.246875,6500,,Width (mm),37,,,
2,65,4000,0.075,2.4,223.3168,9750,,,0.075,0.82,126.597732,9750,,,,,,
2,65,4000,0.1,2.9,253.3313,13000,,,0.1,0.89,130.943003,13000,,                                                                              ,,,,
2,65,4000,0.125,3.3,277.1377,16250,,,0.125,1.3,156.2817,16250,,,,,,
2,65,4000,0.15,3.7,300.7617,19500,,,0.15,1.5,168.5725,19500,,,,,,
2,150,1500,0.05,1.8,186.9232,15000,150,1500,0.05,0.55,109.785075,15000,,Wheel Specification,,,,
2,150,1500,0.075,1.95,196.060075,22500,,,0.075,0.62,114.151892,22500,,Wheel dia (in),14,,,
2,150,1500,0.1,2.35,220.299675,30000,,,0.1,0.75,122.246875,30000,,Wheel dia (mm),355.6,,,
2,150,1500,0.125,2.7,241.3597,37500,,,0.125,1.05,140.854075,37500,,Wheel thickness (in),1.5,,,
2,150,1500,0.15,3.5,288.9725,45000,,,0.15,1.1,143.9453,45000,,Wheel thickness (mm),38.1,,,
2,150,4000,0.05,2,199.1,15000,,4000,0.05,0.6,112.9048,15000,,,,,,
2,150,4000,0.075,2.25,214.256875,22500,,,0.075,0.65,116.021675,22500,,,,,,
2,150,4000,0.1,2.6,235.3568,30000,,,0.1,0.85,128.460675,30000,,,,,,
2,150,4000,0.125,2.97,257.510587,37500,,,0.125,1.15,147.033675,37500,,Formula,,,,
2,150,4000,0.15,3.73,302.526147,45000,,,0.15,1.2,150.1192,45000,,Wheel velocity(Vc) = pi*Wheel Dia* Spindle Speed (N),,,,
5,65,1500,0.05,2.25,214.256875,16250,65,1500,0.05,0.7,119.1357,16250,,MRR = Vc*Depth of Cut*Crossfeed,,,,
5,65,1500,0.075,2.35,220.299675,24375,,,0.075,0.8,125.3552,24375,,,,,,
5,65,1500,0.1,2.55,232.351075,32500,,,0.1,0.9,131.5633,32500,,,,,,
